fetchedAtUTC,LastUpdatedTime,location_address,location_name,location_longtitude,location_latitude,location_postalCode,location_locationId,location_status,location_status_desc,cp_status,cp_status_desc,cp_operatingHours,cp_operator,cp_position,cp_name,cp_id,plug_plugType,plug_powerRating,plug_chargingSpeed,plug_current,plug_price,plug_priceType,ev_id,evCpId,ev_status,ev_status_desc
2026-02-17T03:44:42+00:00,2026-02-17 11:40:00,4 SAGO LANE SINGAPORE 050004,BLK 4 SAGO LANE CAR PARK,103.842977,1.281676,050004,,,Unknown/Not Provided,1,Available,,STRIDES YTL PTE. LTD.,L1 29,BLK 4 SAGO LANE CAR PARK,,Type 2,7.4,,AC,0.6781,kWh,,R115884A-001,1,Available
2026-02-17T03:44:42+00:00,2026-02-17 11:40:00,4 SAGO LANE SINGAPORE 050004,BLK 4 SAGO LANE CAR PARK,103.842977,1.281676,050004,,,Unknown/Not Provided,0,Occupied,,STRIDES YTL PTE. LTD.,L1 27,BLK 4 SAGO LANE CAR PARK,,Type 2,7.4,,AC,0.6781,kWh,,R115882D-001,0,Occupied
2026-02-17T03:44:42+00:00,2026-02-17 11:40:00,1110 EAST COAST PARKWAY SINGAPORE 449880,,103.924021,1.304422,449880,,,Unknown/Not Provided,1,Available,,COMFORTDELGRO ENGIE PTE. LTD.,L1 402,,,Type 2,22,,AC,0.6750,kWh,,R102505D-001,1,Available
2026-02-17T03:44:42+00:00,2026-02-17 11:40:00,1110 EAST COAST PARKWAY SINGAPORE 449880,,103.924021,1.304422,449880,,,Unknown/Not Provided,1,Available,,COMFORTDELGRO ENGIE PTE. LTD.,L1 13,,,Type 2,22,,AC,0.6750,kWh,,R102494E-001,1,Available
2026-02-17T03:44:42+00:00,2026-02-17 11:40:00,1110 EAST COAST PARKWAY SINGAPORE 449880,,103.924021,1.304422,449880,,,Unknown/Not Provided,1,Available,,COMFORTDELGRO ENGIE PTE. LTD.,L1 404,,,Type 2,22,,AC,0.6750,kWh,,R102507A-001,1,Available
2026-02-17T03:44:42+00:00,2026-02-17 11:40:00,1110 EAST COAST PARKWAY SINGAPORE 449880,,103.924021,1.304422,449880,,,Unknown/Not Provided,1,Available,,COMFORTDELGRO ENGIE PTE. LTD.,L1 403,,,Type 2,22,,AC,0.6750,kWh,,R102506H-001,1,Available
2026-02-17T03:44:42+00:00,2026-02-17 11:40:00,1110 EAST COAST PARKWAY SINGAPORE 449880,,103.924021,1.304422,449880,,,Unknown/Not Provided,1,Available,,COMFORTDELGRO ENGIE PTE. LTD.,L1 401,,,Type 2,22,,AC,0.6750,kWh,,R102504R-001,1,Available
2026-02-17T03:44:42+00:00,2026-02-17 11:40:00,1110 EAST COAST PARKWAY SINGAPORE 449880,,103.924021,1.304422,449880,,,Unknown/Not Provided,1,Available,,COMFORTDELGRO ENGIE PTE. LTD.,L1 12,,,Type 2,22,,AC,0.6750,kWh,,R102493A-001,1,Available
2026-02-17T03:44:42+00:00,2026-02-17 11:40:00,1110 EAST COAST PARKWAY SINGAPORE 449880,,103.924021,1.304422,449880,,,Unknown/Not Provided,1,Available,,COMFORTDELGRO ENGIE PTE. LTD.,L1 11,,,Type 2,22,,AC,0.6750,kWh,,R102491D-001,1,Available
2026-02-17T03:44:42+00:00,2026-02-17 11:40:00,1110 EAST COAST PARKWAY SINGAPORE 449880,,103.924021,1.304422,449880,,,Unknown/Not Provided,1,Available,,COMFORTDELGRO ENGIE PTE. LTD.,L1 10,,,Type 2,22,,AC,0.6750,kWh,,R102490R-001,1,Available
